Team,Player,Match_1,Match_2,Match_3,Match_4,Match_5,Match_6,Match_7,Match_8,Match_9,Match_10,Match_11,Match_12,Match_13,Match_14
RCB,Aaron Finch,38,35,73,22,18,6,57,28,30,22,22,29,33,22
RCB.1,Devdutt Padikkal,76,5,83,99,16,49,50,31,41,40,30,108,10,67
RCB.2,Virat Kohli,34,5,1,95,51,114,38,55,52,24,65,11,19,37
RCB.3,de Villiers,71,46,87,17,23,10,108,12,88,20,47,22,43,44
RCB.4,Josh Philippe,11,2,25,27,29,33,26,33,35,24,31,43,40,17
RCB.5,Shivan Dube,63,64,38,4,17,30,4,31,34,30,32,6,27,41
RCB.6,Umesh Yadav,16,-2,21,28,23,31,33,35,35,20,30,29,26,31
RCB.7,W Sundar,4,38,35,6,26,68,56,16,4,43,10,17,52,31
RCB.8,N Saini,62,9,0,35,11,8,31,6,12,29,4,23,23,24
RCB.9,Steyn,27,-1,20,34,28,26,20,25,23,31,28,0,27,30
RCB.10,Chahal,83,30,23,89,2,29,35,23,54,60,31,52,56,4
RCB.11,Chris Morris,35,24,35,29,31,103,66,38,120,30,29,48,13,0
RCB.12,Adam Zampa,24,35,23,2,21,35,26,21,24,35,30,23,32,24
RCB.13,Gurkeerat Singh,28,22,4,4,34,20,25,20,24,43,6,28,26,22
RCB.14,Isuru Udana,24,28,48,58,28,29,41,16,-2,4,24,32,37,3
RCB.15,Mohammed Siraj,23,32,35,28,60,23,37,-2,31,101,6,62,6,35
RCB.16,Moin Ali,26,27,35,23,45,24,20,35,31,30,5,24,27,25
RCB.17,Shahbaz Ahmed,27,30,29,30,35,20,21,23,10,21,31,26,35,55
