index,Date,Temperature(f),Difference
720,2006-08-01 00:00:00.000 +0200,69.83,19.58
1490,2006-12-10 02:00:00.000 +0100,47.12,10.379999999999995
1730,2006-12-02 02:00:00.000 +0100,43.0,11.52
1993,2006-12-03 01:00:00.000 +0100,39.1,10.940000000000001
2496,2006-02-20 00:00:00.000 +0100,40.21,16.04
3122,2006-01-19 02:00:00.000 +0100,36.08,11.659999999999997
3144,2006-01-02 00:00:00.000 +0100,41.76,18.639999999999997
3218,2006-01-22 02:00:00.000 +0100,33.05,18.119999999999997
3361,2006-01-28 01:00:00.000 +0100,28.61,10.86
3624,2006-07-01 00:00:00.000 +0200,64.0,34.3
3655,2006-07-10 07:00:00.000 +0200,71.43,10.460000000000008
3943,2006-07-21 07:00:00.000 +0200,72.74000000000001,10.56000000000001
4656,2006-06-20 00:00:00.000 +0200,70.80000000000001,18.710000000000008
4920,2006-06-30 00:00:00.000 +0200,67.91,14.79
5401,2006-03-21 01:00:00.000 +0100,46.26,10.559999999999995
5450,2006-03-23 02:00:00.000 +0100,47.83,12.11
5616,2006-03-03 01:00:00.000 +0100,36.7,12.400000000000002
5639,2006-03-30 00:00:00.000 +0200,48.84,10.050000000000004
5713,2006-03-05 02:00:00.000 +0100,48.0,13.689999999999998
5831,2006-05-01 00:00:00.000 +0200,54.92,18.840000000000003
6601,2006-11-10 02:00:00.000 +0100,45.92,14.05
6841,2006-11-02 02:00:00.000 +0100,42.91,11.289999999999996
6863,2006-11-20 00:00:00.000 +0100,45.75,16.84
7127,2006-11-30 00:00:00.000 +0100,41.66,14.709999999999997
7176,2006-11-05 01:00:00.000 +0100,45.03,10.86
7225,2006-11-07 02:00:00.000 +0100,47.04,10.519999999999996
7295,2006-10-01 00:00:00.000 +0200,57.67,10.719999999999999
7424,2006-10-14 09:00:00.000 +0200,56.50999999999999,11.019999999999989
7559,2006-10-02 00:00:00.000 +0200,59.7,17.580000000000005
7850,2006-10-30 02:00:00.000 +0100,52.96000000000001,19.02000000000001
7896,2006-10-04 00:00:00.000 +0200,63.800000000000004,29.840000000000003
8040,2010-08-02 00:00:00.000 +0200,65.84,16.610000000000007
8144,2006-09-12 08:00:00.000 +0200,58.019999999999996,10.139999999999993
9008,2007-04-18 08:00:00.000 +0200,56.52,10.450000000000003
9152,2007-04-23 08:00:00.000 +0200,53.01,12.369999999999997
9224,2007-04-26 08:00:00.000 +0200,56.53,10.400000000000006
9528,2007-08-10 00:00:00.000 +0200,71.72,12.789999999999992
10512,2007-12-02 00:00:00.000 +0100,34.01,11.969999999999999
10776,2007-12-03 00:00:00.000 +0100,38.04,16.08
